pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,Day Name,WEEK NAME,Day of Week,Month Name
164,71,thai_ckn_l,1,02-Jan-15,11:40:50,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
188,79,thai_ckn_l,1,02-Jan-15,12:29:11,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
191,81,thai_ckn_l,1,02-Jan-15,12:40:01,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
209,89,thai_ckn_l,1,02-Jan-15,14:30:19,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
1171,513,thai_ckn_l,1,09-Jan-15,12:22:48,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
1244,549,thai_ckn_l,1,09-Jan-15,19:06:34,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
1249,551,thai_ckn_l,1,09-Jan-15,19:26:24,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
2087,928,thai_ckn_l,1,16-Jan-15,14:14:40,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
2098,934,thai_ckn_l,1,16-Jan-15,15:55:24,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
3049,1346,thai_ckn_l,1,23-Jan-15,15:25:17,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
3124,1381,thai_ckn_l,1,23-Jan-15,20:08:54,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
3137,1387,thai_ckn_l,1,23-Jan-15,21:11:38,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
3877,1727,thai_ckn_l,1,30-Jan-15,11:25:25,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
3900,1734,thai_ckn_l,1,30-Jan-15,12:36:42,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
4013,1791,thai_ckn_l,1,30-Jan-15,22:46:02,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,January
4961,2192,thai_ckn_l,1,06-Feb-15,13:20:41,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5004,2213,thai_ckn_l,1,06-Feb-15,17:53:26,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5899,2612,thai_ckn_l,1,13-Feb-15,13:43:11,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5926,2626,thai_ckn_l,1,13-Feb-15,16:49:57,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5937,2630,thai_ckn_l,1,13-Feb-15,17:15:17,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5955,2638,thai_ckn_l,1,13-Feb-15,18:27:27,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
5965,2643,thai_ckn_l,1,13-Feb-15,20:08:34,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6841,3021,thai_ckn_l,1,20-Feb-15,13:23:48,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6857,3027,thai_ckn_l,1,20-Feb-15,13:41:20,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6876,3034,thai_ckn_l,1,20-Feb-15,14:55:08,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6897,3042,thai_ckn_l,1,20-Feb-15,16:30:09,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6963,3072,thai_ckn_l,1,20-Feb-15,21:28:46,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
6973,3077,thai_ckn_l,1,20-Feb-15,22:17:15,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
7788,3424,thai_ckn_l,1,27-Feb-15,14:14:57,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
7796,3428,thai_ckn_l,1,27-Feb-15,16:08:31,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
7857,3452,thai_ckn_l,1,27-Feb-15,18:47:21,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
7858,3453,thai_ckn_l,1,27-Feb-15,18:48:01,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
7891,3468,thai_ckn_l,1,27-Feb-15,21:38:02,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,February
8766,3844,thai_ckn_l,1,06-Mar-15,15:59:29,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Friday,FRI,5,March
